COUNTRY,YEAR,Value
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUS,2017,1.304758
AUS,2018,1.338412
AUS,2019,1.438507
AUS,2020,1.453085
AUS,2021,1.331224
CAN,2000,1.485394
CAN,2001,1.54884
CAN,2002,1.570343
CAN,2003,1.401015
CAN,2004,1.301282
CAN,2005,1.211405
CAN,2006,1.134345
CAN,2007,1.074046
CAN,2008,1.067087
CAN,2009,1.141535
CAN,2010,1.030113
CAN,2011,0.989258
CAN,2012,0.999365
CAN,2013,1.030137
CAN,2014,1.104747
CAN,2015,1.278786
CAN,2016,1.325615
CAN,2017,1.297936
CAN,2018,1.295818
CAN,2019,1.326793
CAN,2020,1.341153
CAN,2021,1.253877
FRA,2000,1.082705
FRA,2001,1.116533
FRA,2002,1.057559
FRA,2003,0.884048
FRA,2004,0.803922
FRA,2005,0.8038
FRA,2006,0.796433
FRA,2007,0.729672
FRA,2008,0.679923
FRA,2009,0.716958
FRA,2010,0.754309
FRA,2011,0.718414
FRA,2012,0.778338
FRA,2013,0.752945
FRA,2014,0.752728
FRA,2015,0.901296
FRA,2016,0.903421
FRA,2017,0.885206
FRA,2018,0.846773
FRA,2019,0.893276
FRA,2020,0.875506
FRA,2021,0.845494
DEU,2000,1.082705
DEU,2001,1.116533
DEU,2002,1.057559
DEU,2003,0.884048
DEU,2004,0.803922
DEU,2005,0.8038
DEU,2006,0.796433
DEU,2007,0.729672
DEU,2008,0.679923
DEU,2009,0.716958
DEU,2010,0.754309
DEU,2011,0.718414
DEU,2012,0.778338
DEU,2013,0.752945
DEU,2014,0.752728
DEU,2015,0.901296
DEU,2016,0.903421
DEU,2017,0.885206
DEU,2018,0.846773
DEU,2019,0.893276
DEU,2020,0.875506
DEU,2021,0.845494
ITA,2000,1.082705
ITA,2001,1.116533
ITA,2002,1.057559
ITA,2003,0.884048
ITA,2004,0.803922
ITA,2005,0.8038
ITA,2006,0.796433
ITA,2007,0.729672
ITA,2008,0.679923
ITA,2009,0.716958
ITA,2010,0.754309
ITA,2011,0.718414
ITA,2012,0.778338
ITA,2013,0.752945
ITA,2014,0.752728
ITA,2015,0.901296
ITA,2016,0.903421
ITA,2017,0.885206
ITA,2018,0.846773
ITA,2019,0.893276
ITA,2020,0.875506
ITA,2021,0.845494
JPN,2000,107.765498
JPN,2001,121.528948
JPN,2002,125.388019
JPN,2003,115.933464
JPN,2004,108.192569
JPN,2005,110.218212
JPN,2006,116.299312
JPN,2007,117.753529
JPN,2008,103.359494
JPN,2009,93.570089
JPN,2010,87.779875
JPN,2011,79.80702
JPN,2012,79.790455
JPN,2013,97.595658
JPN,2014,105.944781
JPN,2015,121.044026
JPN,2016,108.7929
JPN,2017,112.166141
JPN,2018,110.423179
JPN,2019,109.009666
JPN,2020,106.774582
JPN,2021,109.754324
KOR,2000,1130.3625
KOR,2001,1290.79
KOR,2002,1251.6025
KOR,2003,1191.645833
KOR,2004,1146.249167
KOR,2005,1024.328333
KOR,2006,955.340833
KOR,2007,929.375833
KOR,2008,1100.125833
KOR,2009,1277.245833
KOR,2010,1156.46
KOR,2011,1108.233333
KOR,2012,1126.806667
KOR,2013,1094.9825
KOR,2014,1052.84
KOR,2015,1130.9525
KOR,2016,1160.7675
KOR,2017,1131.000833
KOR,2018,1100.163333
KOR,2019,1165.3575
KOR,2020,1180.265833
KOR,2021,1143.958333
MEX,2000,9.455558
MEX,2001,9.342342
MEX,2002,9.655958
MEX,2003,10.789019
MEX,2004,11.285967
MEX,2005,10.897892
MEX,2006,10.899242
MEX,2007,10.928192
MEX,2008,11.129717
MEX,2009,13.513475
MEX,2010,12.636008
MEX,2011,12.423325
MEX,2012,13.169458
MEX,2013,12.771992
MEX,2014,13.29245
MEX,2015,15.848267
MEX,2016,18.664058
MEX,2017,18.926517
MEX,2018,19.244342
MEX,2019,19.263633
MEX,2020,21.485608
MEX,2021,20.272408
TUR,2000,0.625219
TUR,2001,1.225588
TUR,2002,1.507226
TUR,2003,1.500885
TUR,2004,1.425537
TUR,2005,1.343583
TUR,2006,1.428453
TUR,2007,1.302931
TUR,2008,1.301522
TUR,2009,1.54996
TUR,2010,1.502849
TUR,2011,1.674955
TUR,2012,1.796001
TUR,2013,1.903768
TUR,2014,2.188542
TUR,2015,2.720009
